dispatching_base_number,date,active_vehicles,trips,day,month,year,weekday,week,trips_per_vehicle
B02764,2015-01-14,3736,29550,14,1,2015,2,3,7.909528907922912
B02765,2015-01-14,271,1600,14,1,2015,2,3,5.904059040590406
B02598,2015-01-14,1030,8870,14,1,2015,2,3,8.611650485436893
B02512,2015-01-14,233,1582,14,1,2015,2,3,6.789699570815451
B02617,2015-01-14,1405,11965,14,1,2015,2,3,8.516014234875446
B02682,2015-01-14,1174,9762,14,1,2015,2,3,8.315161839863714
B02512,2015-01-15,237,1636,15,1,2015,3,3,6.90295358649789
B02682,2015-01-15,1208,10391,15,1,2015,3,3,8.60182119205298
B02617,2015-01-15,1457,12539,15,1,2015,3,3,8.606039807824297
B02765,2015-01-15,270,1797,15,1,2015,3,3,6.655555555555556
B02764,2015-01-15,3840,31214,15,1,2015,3,3,8.128645833333334
B02598,2015-01-15,1068,9152,15,1,2015,3,3,8.569288389513108
B02617,2015-01-16,1445,12977,16,1,2015,4,3,8.980622837370243
B02765,2015-01-16,290,2082,16,1,2015,4,3,7.179310344827586
B02764,2015-01-16,3975,34822,16,1,2015,4,3,8.760251572327045
B02682,2015-01-16,1250,11280,16,1,2015,4,3,9.024
B02512,2015-01-16,234,1481,16,1,2015,4,3,6.329059829059829
B02598,2015-01-16,1079,9838,16,1,2015,4,3,9.117701575532902
B02598,2015-01-17,974,9546,17,1,2015,5,3,9.80082135523614
B02512,2015-01-17,201,1281,17,1,2015,5,3,6.373134328358209
B02682,2015-01-17,1137,11382,17,1,2015,5,3,10.010554089709762
B02765,2015-01-17,252,2160,17,1,2015,5,3,8.571428571428571
B02617,2015-01-17,1306,12676,17,1,2015,5,3,9.705972434915774
B02764,2015-01-17,3657,36318,17,1,2015,5,3,9.931091058244462
B02512,2015-01-18,177,1521,18,1,2015,6,3,8.59322033898305
B02598,2015-01-18,869,9443,18,1,2015,6,3,10.866513233601841
B02765,2015-01-18,248,2287,18,1,2015,6,3,9.221774193548388
B02764,2015-01-18,3290,35182,18,1,2015,6,3,10.693617021276596
B02682,2015-01-18,1056,11161,18,1,2015,6,3,10.569128787878787
B02617,2015-01-18,1223,12879,18,1,2015,6,3,10.530662305805397
B02682,2015-01-19,883,7028,19,1,2015,0,4,7.959229898074745
B02617,2015-01-19,992,7775,19,1,2015,0,4,7.837701612903226
B02765,2015-01-19,238,1568,19,1,2015,0,4,6.588235294117647
B02764,2015-01-19,2958,22750,19,1,2015,0,4,7.691007437457742
B02512,2015-01-19,168,1025,19,1,2015,0,4,6.101190476190476
B02598,2015-01-19,706,5609,19,1,2015,0,4,7.944759206798867
B02598,2015-01-20,944,7206,20,1,2015,1,4,7.633474576271187
B02682,2015-01-20,1151,8496,20,1,2015,1,4,7.3814074717636835
B02512,2015-01-20,221,1310,20,1,2015,1,4,5.927601809954751
B02764,2015-01-20,3654,26137,20,1,2015,1,4,7.152983032293377
B02765,2015-01-20,272,1608,20,1,2015,1,4,5.911764705882353
B02617,2015-01-20,1350,10015,20,1,2015,1,4,7.4185185185185185
B02764,2015-01-21,3718,27344,21,1,2015,2,4,7.35449166218397
